Location,Type,Region,Venue,Street,Locality,Postcode,indoor,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type1,Type2,NDF,Type3,Type4,Type5,Type6,Type7,Type8,Type9,Details
Tiviot Dale Methodist Church,Community Group,Brinnington,Tiviot Dale Methodist Church,Tiviot Dale,Lancashire Hill,SK11TA,TRUE,,Tuesday,,,,,,,Physical / Sport,TRUE,Social,,Events,,,Creative,Educational,drum tutorage for 7-97 yrs
The Midway Tavern,Community Group,Portwood,The Midway Tavern,263 Newbridge Lane,Portwood,SK12NX,TRUE,Monday,,,,,,,,,FALSE,Social,,,,,Creative,,To promote and encourage the performing of live music performance and dance of any type. The main activity is what is loosely described as folk music. Also to present artists on a monthly basis who are exceptionally skilled in the performance of folk mus
Crescent Road Community Centre Crescent Rd. Brinnington Stockport SK1 2QQ,Community Group,Brinnington,Crescent Road Community Centre,Crescent Road,Portwood Brinnington,SK12QQ,TRUE,,,,,Friday,,,,,FALSE,Social,,,,,Creative,Educational,Primarily Art with some crafts social group of like minded individuals.
Christ with All Saints' Church Heaton Norris,Community Group,Heaton Norris,Christ with All Saints' Parish Church,All Saints' Road,Heaton Norris,SK41QA,TRUE,,,,Thursday,,,,,,FALSE,,,,,,Creative,,Church choir four parts very sociable and fun. New members welcome no singing experience necessary!
Christ with All Saints' Church Heaton Norris,Community Group,Heaton Norris,Christ with All Saints' Parish Church,All Saints' Road,Heaton Norris,SK41QA,FALSE,,,,,,,Sunday,,,FALSE,,,,,,Creative,,Church choir four parts very sociable and fun. New members welcome no singing experience necessary!
St Marys RC School,Community Group,Heaton Norris,St Marys RC School,Roman Road Dodge Hill,Heaton Norris,SK41RF,TRUE,Monday,,Wednesday,,,,,,,FALSE,Social,,,,,,Educational,Playgroup for children 0-4 years and their carers.
Salvation Army,Registered Charity,Heaton Norris,Salvation Army,15 Short Street,Heaton Norris,SK41SX,TRUE,,,Wednesday,,,,,,,FALSE,Social,,,,,,,A two course meal followed by tea/coffee. All welcome. Phone in advance to book a place and avoid disappointment.
Stockport Christian Spiritualist Church,Community Group,Heaton Norris,Stockport Christian Spiritualist Church,46 Old Road,Heaton Norris,SK41TD,TRUE,,,,,,,,,,FALSE,Social,,,,,,,Spiritual Communication through meditation and prayers. Proof of the survival of the spirit.
Stockport Christian Spiritualist Church,Community Group,Heaton Norris,Stockport Christian Spiritualist Church,46 Old Road,Heaton Norris,SK41TD,TRUE,,Tuesday,,,,,,,,FALSE,Social,,,,,,,Spiritual Communication through meditation and prayers. Proof of the survival of the spirit.
Stockport Christian Spiritualist Church,Community Group,Heaton Norris,Stockport Christian Spiritualist Church,46 Old Road,Heaton Norris,SK41TD,TRUE,,,,,,,Sunday,,,FALSE,Social,,,,,,,Spiritual Communication through meditation and prayers. Proof of the survival of the spirit.
Stockport Christian Spiritualist Church,Community Group,Heaton Norris,Stockport Christian Spiritualist Church,46 Old Road,Heaton Norris,SK41TD,FALSE,Monday,,,,,,,,,FALSE,Social,,,,,,,Spiritual Communication through meditation and prayers. Proof of the survival of the spirit.
Stockport Christian Spiritualist Church,Community Group,Heaton Norris,Stockport Christian Spiritualist Church,46 Old Road,Heaton Norris,SK41TD,TRUE,,,Wednesday,,,,,,,FALSE,Social,,,,,,,Spiritual Communication through meditation and prayers. Proof of the survival of the spirit.
Stockport Christian Spiritualist Church,Community Group,Heaton Norris,Stockport Christian Spiritualist Church,46 Old Road,Heaton Norris,SK41TD,FALSE,,,,,,Saturday,,,,FALSE,Social,,,,,,,Spiritual Communication through meditation and prayers. Proof of the survival of the spirit.
Stockport Christian Spiritualist Church,Community Group,Heaton Norris,Stockport Christian Spiritualist Church,46 Old Road,Heaton Norris,SK41TD,TRUE,,,,,Friday,Saturday,,,,FALSE,Social,,,,,,,Spiritual Communication through meditation and prayers. Proof of the survival of the spirit.
Russel Gardens,Service,Heatons,Russell Gardens Residents Lounge,Craig Road,Heaton Norris,SK42AN,TRUE,,Tuesday,,,,,,,,FALSE,Social,,,,,,,The sheltered accommodations centre is used on all other days for the benefit of the residents however any over sixty's wishing to join in any of our other social activities please contact the Scheme Manager.
Heatons Sports Club Green Lane Stockport SK4 2NF,Sports or Cultural Organisation,Heaton Moor,Heatons Sports Club,Green Lane,Heaton Moor,SK42NF,FALSE,,Tuesday,,Thursday,,,,,Physical / Sport,TRUE,Social,,Events,Food / Drink,,,,
Heatons Sports Club Green Lane Stockport SK4 2NF,Sports or Cultural Organisation,Heaton Moor,Heatons Sports Club,Green Lane,Heaton Moor,SK42NF,TRUE,,,,,,Saturday,,,Physical / Sport,TRUE,Social,,Events,Food / Drink,,,,
Heatons Sports Club,,Heaton Moor,Heatons Sports Club,Green Lane,Heaton Moor,SK42NF,TRUE,,,Wednesday,,,,,,Physical / Sport,TRUE,,,,,,,,To promote the interests of Rugby Union Football. Seniors - three teams Minis (ages 6+) - 7 teams and Juniors - 4 teams.
Heatons Sports Club,,Heaton Moor,Heatons Sports Club,Green Lane,Heaton Moor,SK42NF,FALSE,,Tuesday,,Thursday,,,,,Physical / Sport,TRUE,,,,,,,,To promote the interests of Rugby Union Football. Seniors - three teams Minis (ages 6+) - 7 teams and Juniors - 4 teams.
Heaton Mersey Sports and Social Club,,Heaton Mersey,Heaton Mersey Sports and Social Club,Harwood Road,Heaton Mersey,SK43AW,FALSE,,,Wednesday,Thursday,,,,,Physical / Sport,TRUE,,,,,,,,1st & 2nd teams in Cheshire Cricket Alliance. Ground available for hire also have football lacrosse and social events.
iYoga Centre Heaton Mersey,Social Enterprise,Heaton Mersey,iYoga Centre,Battersea Road,Heaton Mersey,SK43EA,FALSE,,,,Thursday,Friday,,,Health,Physical / Sport,TRUE,Social,,,,,,Educational,Daisy Birthing: Active Antenatal Classes from 14 weeks pregnant Daisy Baby: Baby Massage Relaxation and Yoga for babies 6 weeks or over and their Mums
Thornfield Centre,Community Group,Heaton Moor,The Cellars Thornfield Centre,Thornfield Road,Heaton Moor,SK43LD,FALSE,,Tuesday,,Thursday,,,,Health,,FALSE,Social,,,Food / Drink,,Creative,,All Indian sub-continent adults (Indian Pakistani Bangladeshi). A social gathering including such activities as art gentle exercise health awareness benefit talk Indian head and shoulder massage day trips meal etc. transport available. Contact te
Heaton Moor Evangelical Church,,Heaton Moor,Heaton Moor Evangelical Church,55 Green Lane,Heaton Moor,SK43LH,FALSE,,,,,,,Sunday,,,FALSE,,,,,,,,Heaton Moor Evangelical Church is a building for public Christian worship. That is true but it is much more. Church is people - a group of Christians meeting together to worship and HMEC is a small part of the world-wide church. Working with other local
St Winifreds Church,Registered Charity,Heatons,St Winifreds Church,Mauldeth Road,Heaton Mersey,SK43NB,TRUE,,,,,,,Sunday,,,FALSE,,,,,,,,Parish of the Roman Catholic Diocese of Salford which in turn is a diocese of the Roman Catholic Apostolic/Universal Church.
St Winifreds Church,Registered Charity,Heatons,St Winifreds Church,Mauldeth Road,Heaton Mersey,SK43NB,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,FALSE,,,,,,,,Parish of the Roman Catholic Diocese of Salford which in turn is a diocese of the Roman Catholic Apostolic/Universal Church.
St Winifreds Church,Registered Charity,Heatons,St Winifreds Church,Mauldeth Road,Heaton Mersey,SK43NB,TRUE,,,,,,Saturday,,,,FALSE,,,,,,,,Parish of the Roman Catholic Diocese of Salford which in turn is a diocese of the Roman Catholic Apostolic/Universal Church.
Heaton Moor United Church,Registered Charity,Heaton Moor,Heaton Moor United Church,Heaton Moor Road,Heaton Moor,SK44HL,FALSE,,,,,,,Sunday,,,FALSE,,,,,,,,Office tel no.0161 431 0262. Various weekday meetings. Ministry team: Rev. Richard Parkes and Rev. Stuart Radcliffe. Aims:- to provide pastoral care mission and evangelism to serve the community in which we are placed; to provide opportunities for regu
Heaton Moor United Church,Community Group,Heaton Moor,Heaton Moor United Church,Heaton Moor Road,Heaton Moor,SK44HL,TRUE,,,,Thursday,,,,,Physical / Sport,TRUE,,,,,,,,General class new members always welcome. Come and enjoy the exercise the friendship and you do not need a partner.
Studio 17,Business,Heaton Mersey,Studio 17,Egerton Road South,Heaton Mersey,SK44LS,TRUE,,Tuesday,,,,,,health,Physical / Sport,TRUE,,,,,,,,Yoga for back care classes. Mindful Movement classes to reduce stress. Yoga for Adults with Special Needs. Yoga.
Studio 17,Business,Heaton Mersey,Studio 17,Egerton Road South,Heaton Mersey,SK44LS,TRUE,,,,,,Saturday,,health,Physical / Sport,TRUE,,,,,,,,Yoga for back care classes. Mindful Movement classes to reduce stress. Yoga for Adults with Special Needs. Yoga.
St Paul's Church Heaton Moor,Business,Heaton Moor,St Paul's Church Heaton Moor,St Paul's Rd Heaton Moor Road,Heaton Moor,SK44RY,TRUE,,,,Thursday,,,,Health,Physical / Sport,TRUE,Social,,,,,,,Fun & Fitness for everyone complete beginners welcome Fabulous world music. See www.zehara.co.uk for full details. Inspiring Dance & Exercise classes with Nikki. Her own blend of Afro Caribbean & Belly Dance. Leave the telly move your belly & your whole
Heaton Chapel Community Centre,Community Group,Heaton Chapel,Heaton Chapel Community Centre,Broadstone Hall Road South,Heaton Chapel,SK45JD,FALSE,,,,,Friday,,,,,FALSE,,,,,,,,Listening to classical music
Broadstone Hall School,Community Group,Heaton Chapel,Broadstone Hall School,Braodstone Hall Road,Heaton Norris,SK45JD,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,FALSE,,,,,,,Educational,Care for children aged 4-11yrs old after school.
Heaton Chapel Community Centre,Sports or Cultural Organisation,Heaton Moor,Heaton Chapel Community Centre,Broadstone Hall Road South,Heaton Chapel,SK45JD,TRUE,Monday,Tuesday,,Thursday,,Saturday,,Health,Physical / Sport,TRUE,Social,,Events,Food / Drink,,,,The club is a member of the Stockport Vets Bowling League and plays bowls competitively from April to September. From October to March we play snooker at Heaton Chapel Community Centre. We organise and hold a club lunch every 2 months through the year.
FreshFire Church Sykes Street Reddish SK5 6AL,Registered Charity,North Reddish,FreshFire Church,Sykes Street,Reddish,SK56AL,TRUE,,,,Thursday,,,,,Physical / Sport,TRUE,Social,,Events,,,Creative,Educational,
FreshFire Church Sykes Street Reddish SK5 6AL,Registered Charity,North Reddish,FreshFire Church,Sykes Street,Reddish,SK56AL,TRUE,,,,Thursday,,,,,,FALSE,Social,,Events,Food / Drink,,Creative,Educational,
Freshfire Church,Registered Charity,North Reddish,FreshFire Church,Sykes Street,Reddish,SK56AL,TRUE,,,,Thursday,,,,,,FALSE,Social,,,Food / Drink,,Creative,Educational,
The New Bairstow,Community Group,Reddish,The New Bairstow,Rupert Street,Reddish,SK56DL,TRUE,Monday,,Wednesday,,,,,,,FALSE,Social,,,,,,,We paint at all levels from very beginners to accomplished artists. We have a leader who guides us through any stumbling blocks. We are a very welcoming and social group of like minded people. Pop in and see what we do!
Christ Church Reddish,Charitable Organisation,Reddish,Christ Church Reddish,Lillian Grove,Reddish,SK56EQ,FALSE,,,Wednesday,,,,,,,FALSE,Social,,,,,,,Minister; (Methodist) Reverend. Stuart Radcliffe
Christ Church Reddish,Charitable Organisation,Reddish,Christ Church Reddish,Lillian Grove,Reddish,SK56EQ,TRUE,,,,,,,Sunday,,,FALSE,Social,,,,,,,Minister; (Methodist) Reverend. Stuart Radcliffe
Christ Church Reddish,Charitable Organisation,Reddish,Christ Church Reddish,Lillian Grove,Reddish,SK56EQ,FALSE,,,,,Friday,,,,,FALSE,Social,,,,,Creative,,Minister; (Methodist) Reverend. Stuart Radcliffe
Christ Church Reddish,Charitable Organisation,Reddish,Christ Church Reddish,Lillian Grove,Reddish,SK56EQ,FALSE,Monday,,,,,,,,,FALSE,Social,,,,,,,Minister; (Methodist) Reverend. Stuart Radcliffe
Christ Church Reddish,Charitable Organisation,Reddish,Christ Church Reddish,Lillian Grove,Reddish,SK56EQ,FALSE,,,,,Friday,,,,,FALSE,Social,,,,,,,Minister; (Methodist) Reverend. Stuart Radcliffe
North Reddish Community Center,Community Group,North Reddish,North Reddish Community Centre,North Reddish Park Longford Road West,North Reddish Stockport,SK56EU(Nomailingtothisaddress),FALSE,Monday,,,,,,,,,FALSE,,,,Food / Drink,,Creative,Educational,Sensory play area free painting and exploration of craft activities music and movement to aid physical development.
North Reddish Community Centre,Community Group,North Reddish,North Reddish Community Centre,North Reddish Park Longford Road West,North Reddish Stockport,SK56EU(Nomailingtothisaddress),FALSE,,Tuesday,,Thursday,,,,,,FALSE,Social,,,Food / Drink,,,Educational,Children are given the opportunity to socialise with the wider community & childminders can network. We offer a broad range of activities in line with the EYFS. Our childminding liaison person comes to provide information/training
North Reddish Community Centre,Voluntary and Community Organisation,North Reddish,North Reddish Community Centre,North Reddish Park Longford Road West,North Reddish Stockport,SK56EU(Nomailingtothisaddress),TRUE,,Tuesday,,,,,,Health,Physical / Sport,TRUE,Social,,,Food / Drink,,Creative,Educational,The Tai Chi for Health Group has a routine of exercises and perform a learned sequence of Tai Chi moves to help mobility and general health.   The Group contributes to the well being of mainly older citizens both mentally and physically providing a safe
Reddish Community Centre,Community Group,North Reddish,North Reddish Community Centre,North Reddish Park Longford Road West,North Reddish Stockport,SK56EU(Nomailingtothisaddress),TRUE,,,Wednesday,,,,,,,FALSE,Social,,,Food / Drink,,Creative,Educational,Tots time is a pre-school playgroup where children can play/learn in a safe & friendly environment. We also have a craft table each week. Children are given a healthy snack & we  song/nursery rhymes at the end of each session.
North Reddish Community Centre,Voluntary and Community Organisation,North Reddish,North Reddish Community Centre,North Reddish Park Longford Road West,North Reddish Stockport,SK56EU(Nomailingtothisaddress),FALSE,,Tuesday,,,,,,,,FALSE,Social,,,,,,,The Tuesday Pensioners Bingo Club is an opportunity for people to meet and socialise. We hold several games of bingo with tea/coffee. There is a charge for the bingo games but we keep the costs really low. As well as bingo we organise parties and nights
North Reddish Park Pavillion,Community Group,Reddish,North Reddish Park Pavillion,North Reddish Park Longford Road West,North Reddish Stockport,SK56EU(Nomailingtothisaddress),TRUE,,,,Thursday,,,,,Physical / Sport,TRUE,,,,,,,,Greens now fenced. New members welcome.
Reddish Community Centre,Sports or Cultural Organisation,North Reddish,Reddish Community Centre,The Old Fire Station Gorton Road,Reddish,SK56UG,FALSE,,,,Thursday,,,,Health,Physical / Sport,TRUE,,,,,,,,Tai Chi is a traditional Chinese internal art for mind and body With slow circular movements the low impact routines of Chen Style Tai Chi were developed to coordinate the whole body improving flexibility and joint strength reducing stress and enhanci
New Bairstow Centre,,Reddish,New Bairstow Centre,Rupert St,Reddish,SK57AP,TRUE,,Tuesday,,,,,,,,FALSE,,,,,,Creative,,We meet every Tuesday evening at 7.00pm at the Bairstow Club Community Centre on Rupert St. Reddish SK5 7AP. (Opposite Morrisons). As well as our normal painting sessions we have a number of demonstrations throughout the year. We also hold exhibitions
Houldsworth Park,Community Group,Reddish,Houldsworth Park,Houldsworth Street,Reddish,SK57JD,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,,,,Physical / Sport,TRUE,,,,,,,,Veterans Bowling Club: Summer months (Bowling Season April-September) Monday & Thursday afternoons. League Fixtures. Fridays occasionally. League Cup Fixtures. Other weekdays - casual indoor bowling. Winter months: Monday Wednesday 1.30pm-4pm.
First House,Community Group,Brinnington,First House cafe area,,Brinnington,SK58EN,FALSE,,,Wednesday,,,,,,,FALSE,Social,,,,,Creative,,We are a wellbeing group for people in the Brinnington area who don't socialise very often for what ever reason and our aim is to get people out and about and making new friends through the medium of making crafts or any kind of art. We are not talented
Lapwing Centre,Sports or Cultural Organisation,Brinnington,Lapwing Centre,Lapwing Lane,Brinnington,SK58LF,FALSE,,,Wednesday,,,,,,Physical / Sport,TRUE,,,,,,,,Lapwing Centre Brinnington Monday 7.30 till 8.30pm all welcome. Lapwing Centre Brinnington Wednesday 7.30 till 8.30pm all welcome. Marple Hall School Isherwood Gym Thursday 6.00 till 7.00pm all welcome. Dialstone Centre Offerton Friday 7.00 till 8.00pm.
Lapwing Centre,Sports or Cultural Organisation,Brinnington,Lapwing Centre,Lapwing Lane,Brinnington,SK58LF,TRUE,,Tuesday,,,,,,,Physical / Sport,TRUE,,,,,,,,Opportunity for disabled people to play football at a competitive level or if you just enjoy playing football at any level please come along.
Leisure Centre,Community Group,Brinnington,Leisure Centre,Lapwing Lane,Brinnington,SK58LF,TRUE,,Tuesday,,,,,,,Physical / Sport,TRUE,,,,,,,,Subjects talks slideshows trips out. Quizzes garden party socialising bingo beetle drive.
Heatons Sports Club,Sports or Cultural Organisation,Heaton Moor,Heatons Sports Club,Green Lane,Heaton Moor,SK42NF,TRUE,,,,,,,,,Physical / Sport,TRUE,,,,,,,,The main community Tennis Club for the Heatons. Excellent coaching for Juniors and Adults alike.
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
